Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
395,Nik Stauskas\stausni01,SG,25,POR,24,0,16.8,2.5,5.8,.428,1.3,3.3,.385,1.2,2.5,.483,.536,0.8,0.9,.952,0.3,1.5,1.8,1.6,0.3,0.1,1.0,0.9,7.0
396,Lance Stephenson\stephla01,SG,28,LAL,23,0,15.0,2.9,6.7,.426,1.0,2.6,.367,1.9,4.1,.463,.497,0.7,0.8,.833,0.6,2.8,3.4,1.9,0.7,0.1,1.2,1.5,7.3
397,Edmond Sumner\sumneed01,PG,23,IND,6,0,4.0,0.3,0.8,.400,0.2,0.3,.500,0.2,0.5,.333,.500,0.0,0.3,.000,0.2,0.0,0.2,0.2,0.2,0.0,0.3,0.7,0.8
398,Caleb Swanigan\swanica01,PF,21,POR,10,0,9.9,1.0,3.3,.303,0.1,0.4,.250,0.9,2.9,.310,.318,0.4,0.5,.800,1.1,2.9,4.0,0.5,0.4,0.0,1.0,1.5,2.5
399,Jayson Tatum\tatumja01,SF,20,BOS,23,23,31.6,5.9,13.2,.446,1.8,4.5,.398,4.1,8.7,.470,.513,2.8,3.3,.844,1.3,5.3,6.6,1.9,1.0,0.5,1.5,2.4,16.3
400,Jeff Teague\teaguje01,PG,30,MIN,18,18,31.4,4.1,10.2,.402,0.9,3.0,.315,3.2,7.2,.438,.448,3.4,4.0,.861,0.3,2.2,2.5,7.4,1.2,0.4,2.3,2.1,12.6
401,Garrett Temple\templga01,SG,32,MEM,22,22,32.9,3.8,8.4,.454,1.7,4.2,.398,2.1,4.2,.511,.554,1.8,2.1,.830,0.4,3.0,3.4,1.4,1.1,0.3,1.2,3.1,11.1
402,Milos Teodosic\teodomi01,PG,31,LAC,11,0,8.7,0.9,1.7,.526,0.5,1.3,.429,0.4,0.5,.800,.684,0.3,0.4,.750,0.2,1.1,1.3,2.0,0.3,0.1,0.9,1.7,2.6
403,Jared Terrell\terreja01,SG,23,MIN,1,0,21.0,1.0,8.0,.125,1.0,2.0,.500,0.0,6.0,.000,.188,1.0,2.0,.500,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0
404,Daniel Theis\theisda01,C,26,BOS,13,0,11.5,2.2,3.7,.583,0.3,0.8,.400,1.8,2.9,.632,.625,0.2,0.5,.429,1.0,1.6,2.6,0.8,0.1,0.4,0.8,2.8,4.8
405,Khyri Thomas\thomakh01,SG,22,DET,3,0,4.3,0.7,1.7,.400,0.3,1.0,.333,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,1.7
406,Lance Thomas\thomala01,PF,30,NYK,11,5,15.2,1.3,3.7,.341,0.5,1.5,.294,0.8,2.2,.375,.402,0.9,1.0,.909,0.4,1.8,2.2,0.5,0.6,0.3,0.5,2.0,3.9
407,Klay Thompson\thompkl01,SG,28,GSW,25,25,34.6,9.2,19.9,.461,2.8,7.9,.350,6.4,12.0,.533,.530,1.9,2.4,.797,0.4,3.7,4.1,1.8,1.0,0.6,2.0,2.0,23.0
408,Tristan Thompson\thomptr01,C,27,CLE,23,23,30.4,5.0,9.6,.527,0.0,0.0,,5.0,9.6,.527,.527,1.7,2.6,.644,5.1,6.4,11.5,2.0,0.9,0.4,1.6,2.3,11.7
409,Sindarius Thornwell\thornsi01,SG,24,LAC,10,0,7.0,0.3,0.7,.429,0.0,0.2,.000,0.3,0.5,.600,.429,0.4,0.4,1.000,0.0,1.3,1.3,0.5,0.1,0.2,0.5,1.6,1.0
410,Anthony Tolliver\tollian01,PF,33,MIN,16,0,17.1,1.6,3.8,.433,1.4,3.4,.407,0.3,0.4,.667,.617,0.4,0.8,.583,0.4,2.1,2.5,0.8,0.4,0.5,0.6,1.8,5.1
411,Karl-Anthony Towns\townska01,C,23,MIN,24,24,33.6,7.5,15.5,.482,1.8,4.5,.394,5.7,10.9,.519,.540,4.0,4.5,.889,3.3,8.7,12.0,2.3,0.9,1.5,3.5,3.7,20.7
412,Gary Trent\trentga02,SG,20,POR,2,0,6.5,2.0,4.5,.444,1.0,1.5,.667,1.0,3.0,.333,.556,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,5.0
413,Allonzo Trier\trieral01,SG,23,NYK,25,3,23.3,3.8,8.1,.473,0.7,1.8,.409,3.1,6.4,.491,.517,2.9,3.6,.811,0.6,2.6,3.2,1.9,0.4,0.4,1.8,1.6,11.3
414,P.J. Tucker\tuckepj01,PF,33,HOU,23,23,35.4,2.8,6.5,.430,2.0,4.8,.409,0.8,1.7,.487,.581,0.5,0.7,.733,1.3,5.0,6.3,1.1,1.3,0.4,1.0,3.0,8.0
415,Evan Turner\turneev01,PG,30,POR,23,0,26.3,3.6,7.7,.466,0.2,1.1,.154,3.4,6.6,.520,.478,1.0,1.7,.600,0.6,4.6,5.1,4.3,0.8,0.3,2.0,2.3,8.4
416,Myles Turner\turnemy01,C,22,IND,23,23,27.5,4.7,9.8,.484,0.3,1.5,.206,4.4,8.3,.534,.500,1.8,2.5,.724,1.3,4.9,6.2,1.7,0.4,2.7,1.7,2.7,11.6
417,Ekpe Udoh\udohek01,C,31,UTA,16,0,4.9,0.4,0.5,.875,0.0,0.0,,0.4,0.5,.875,.875,0.3,0.4,.667,0.1,0.8,0.9,0.3,0.1,0.4,0.3,0.7,1.1
418,Tyler Ulis\ulisty01,PG,23,CHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Jonas Valanciunas\valanjo01,C,26,TOR,25,9,19.2,4.7,8.3,.570,0.3,1.0,.320,4.4,7.3,.604,.589,2.5,3.0,.827,1.8,5.5,7.3,1.1,0.4,0.9,1.5,2.9,12.2
420,Fred VanVleet\vanvlfr01,PG,24,TOR,21,3,24.0,3.4,8.4,.409,1.2,4.0,.313,2.2,4.4,.495,.483,1.1,1.5,.750,0.4,1.9,2.3,4.3,0.9,0.1,1.4,1.7,9.2
421,Noah Vonleh\vonleno01,PF,23,NYK,25,18,25.3,3.0,5.9,.500,0.8,1.8,.455,2.2,4.2,.519,.568,1.7,2.3,.741,1.9,6.2,8.1,1.6,0.6,1.0,1.3,2.8,8.4
422,Nikola Vucevic\vucevni01,C,28,ORL,24,24,30.9,8.6,15.6,.551,1.2,3.0,.408,7.4,12.6,.584,.590,2.5,3.0,.833,2.6,8.7,11.3,3.8,1.0,1.0,2.1,2.1,20.9
423,Dwyane Wade\wadedw01,SG,37,MIA,16,0,25.6,5.6,12.7,.443,1.6,4.1,.379,4.1,8.6,.474,.505,2.3,3.3,.679,1.1,2.4,3.6,3.6,0.5,0.6,2.4,1.9,15.1
424,Moritz Wagner\wagnemo01,C,21,LAL,4,0,4.3,0.8,2.8,.273,0.5,1.5,.333,0.3,1.3,.200,.364,0.5,0.5,1.000,0.0,1.0,1.0,0.8,0.3,0.0,0.5,1.0,2.5
425,Kemba Walker\walkeke02,PG,28,CHO,23,23,35.0,9.0,20.3,.442,3.3,9.3,.362,5.6,11.0,.510,.525,5.3,6.4,.818,0.4,4.0,4.3,6.2,1.3,0.4,2.6,1.7,26.5
426,John Wall\walljo01,PG,28,WAS,24,24,34.6,7.8,17.6,.443,1.6,5.0,.322,6.2,12.5,.492,.489,4.0,6.0,.678,0.5,2.9,3.5,8.4,1.7,1.0,3.5,2.4,21.3
427,Tyrone Wallace\wallaty01,PG,24,LAC,14,0,6.7,1.4,2.9,.475,0.0,0.3,.000,1.4,2.6,.528,.475,0.4,1.0,.429,0.1,0.8,0.9,0.3,0.1,0.0,0.2,0.8,3.1
428,Taurean Waller-Prince\princta02,SF,24,ATL,21,20,28.7,5.2,12.1,.431,2.4,6.6,.367,2.8,5.5,.509,.531,2.1,2.6,.833,0.3,3.7,4.0,2.3,1.1,0.3,2.6,3.0,15.0
429,Brad Wanamaker\wanambr01,PG,29,BOS,6,0,6.7,1.0,2.3,.429,0.3,0.7,.500,0.7,1.7,.400,.500,0.8,1.0,.833,0.0,0.7,0.7,1.3,0.2,0.0,0.7,0.2,3.2
430,T.J. Warren\warretj01,SF,25,PHO,20,13,29.9,6.9,13.4,.511,1.8,4.0,.450,5.1,9.4,.537,.578,2.2,2.6,.846,0.7,3.4,4.1,1.3,1.0,0.8,1.1,2.6,17.7
431,Yuta Watanabe\watanyu01,SG,24,MEM,2,0,6.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.0,2.0,2.0,0.0,0.0,0.5,0.5,0.0,1.0
432,Thomas Welsh\welshth01,C,22,DEN,4,0,3.0,0.5,0.8,.667,0.3,0.5,.500,0.3,0.3,1.000,.833,0.0,0.0,,0.0,0.8,0.8,0.5,0.0,0.0,0.3,0.3,1.3
433,Russell Westbrook\westbru01,PG,30,OKC,14,14,32.9,8.9,19.1,.468,1.1,4.8,.224,7.9,14.3,.550,.496,3.9,6.1,.635,1.1,8.7,9.8,9.5,2.0,0.1,4.1,3.4,22.8
434,Derrick White\whitede01,PG,24,SAS,15,6,20.4,2.5,6.1,.407,0.5,1.5,.304,2.0,4.5,.441,.445,0.8,1.1,.750,0.3,2.5,2.8,3.3,0.6,0.0,1.4,1.7,6.2
435,Okaro White\whiteok01,PF,26,WAS,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
436,Hassan Whiteside\whiteha01,C,29,MIA,22,22,26.9,5.6,10.7,.523,0.1,0.5,.167,5.5,10.1,.543,.528,2.3,4.8,.472,4.1,9.5,13.7,0.8,0.6,2.9,1.7,3.1,13.5
437,Andrew Wiggins\wiggian01,SF,23,MIN,20,20,32.8,5.7,15.0,.377,1.9,5.1,.363,3.8,9.9,.384,.438,2.0,2.7,.736,0.7,3.0,3.6,2.2,1.4,0.7,1.6,2.1,15.1
438,C.J. Williams\willicj01,SG,28,MIN,6,0,8.8,0.8,2.3,.357,0.0,1.0,.000,0.8,1.3,.625,.357,0.0,0.0,,0.0,0.3,0.3,0.5,0.2,0.0,0.5,1.7,1.7
439,Johnathan Williams\willijo04,C,23,LAL,6,0,14.2,1.8,3.2,.579,0.0,0.0,,1.8,3.2,.579,.579,0.2,0.8,.200,1.8,1.7,3.5,0.7,0.2,0.5,0.3,3.2,3.8
440,Kenrich Williams\willike04,SF,24,NOP,6,0,4.8,0.3,1.0,.333,0.2,0.3,.500,0.2,0.7,.250,.417,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.2,1.2,0.8
441,Lou Williams\willilo02,SG,32,LAC,23,0,25.7,5.8,14.5,.398,1.3,3.7,.337,4.5,10.8,.419,.442,5.0,5.3,.943,0.6,2.0,2.6,4.4,0.6,0.1,2.3,0.9,17.8
442,Marvin Williams\willima02,PF,32,CHO,23,23,24.8,3.1,7.4,.424,1.5,4.5,.340,1.6,2.9,.552,.526,0.6,1.0,.591,0.8,4.3,5.1,0.9,0.8,0.7,0.6,1.8,8.3
443,Robert Williams\williro04,C,21,BOS,9,0,3.7,0.7,0.9,.750,0.0,0.0,,0.7,0.9,.750,.750,0.1,0.2,.500,0.4,0.8,1.2,0.1,0.0,0.7,0.0,0.8,1.4
444,Troy Williams\willitr02,SF,24,SAC,13,0,16.2,2.8,5.2,.529,1.1,2.5,.438,1.7,2.8,.611,.632,0.6,1.0,.615,0.3,2.5,2.8,0.4,0.5,0.3,0.3,2.0,7.2
445,Justise Winslow\winslju01,PF,22,MIA,19,9,27.7,3.4,9.4,.365,0.9,2.8,.340,2.5,6.6,.376,.416,1.6,2.3,.698,1.1,3.9,5.1,3.2,0.9,0.4,2.1,2.5,9.4
446,Christian Wood\woodch01,PF,23,MIL,5,0,5.8,1.4,2.8,.500,0.4,0.8,.500,1.0,2.0,.500,.571,0.6,0.8,.750,0.6,1.8,2.4,0.4,0.0,0.0,0.4,0.4,3.8
447,Delon Wright\wrighde01,PG,26,TOR,20,0,16.2,2.3,5.1,.455,0.8,1.8,.457,1.5,3.3,.455,.535,0.8,0.8,1.000,0.7,1.4,2.0,1.5,0.7,0.3,0.8,1.0,6.2
448,Guerschon Yabusele\yabusgu01,PF,23,BOS,12,0,4.8,0.6,1.9,.304,0.2,0.8,.222,0.4,1.2,.357,.348,0.6,0.7,.875,0.4,0.8,1.2,0.3,0.2,0.1,0.1,0.8,1.9
449,Thaddeus Young\youngth01,PF,30,IND,24,24,28.0,4.5,9.2,.491,0.2,1.0,.160,4.3,8.1,.533,.500,0.8,1.5,.500,1.9,3.2,5.0,1.3,1.5,0.3,1.1,2.1,9.9
450,Trae Young\youngtr01,PG,20,ATL,24,24,29.1,5.6,14.8,.379,1.4,5.8,.239,4.3,9.1,.468,.426,3.1,3.9,.806,0.5,2.4,2.9,7.4,0.7,0.3,4.0,1.3,15.8
451,Cody Zeller\zelleco01,C,26,CHO,22,22,23.5,3.7,6.4,.582,0.1,0.3,.286,3.6,6.1,.597,.589,1.8,2.1,.848,1.9,3.5,5.4,2.0,0.6,0.7,1.2,3.1,9.3
452,Ante Zizic\zizican01,C,22,CLE,17,0,9.2,1.3,2.6,.500,0.0,0.0,,1.3,2.6,.500,.500,0.9,1.4,.625,1.1,1.8,2.9,0.4,0.1,0.1,1.0,1.2,3.5
453,Ivica Zubac\zubaciv01,C,21,LAL,7,0,7.3,0.7,2.0,.357,0.0,0.0,,0.7,2.0,.357,.357,0.6,0.6,1.000,1.4,1.7,3.1,0.3,0.1,0.3,0.6,1.7,2.0

