Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
327,Kyle O'Quinn\oquinky01,C,28,IND,13,0,5.8,0.9,2.2,.429,0.0,0.2,.000,0.9,1.9,.480,.429,0.5,0.5,1.000,0.8,1.5,2.2,1.3,0.1,0.5,0.6,1.2,2.3
328,Semi Ojeleye\ojelese01,PF,24,BOS,16,1,10.6,1.0,2.5,.400,0.4,1.3,.300,0.6,1.3,.500,.475,0.2,0.4,.429,0.4,1.2,1.6,0.1,0.2,0.1,0.4,0.6,2.6
329,Jahlil Okafor\okafoja01,C,23,NOP,11,2,5.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.5,0.5,1.000,0.9,0.9,1.8,0.1,0.0,0.0,0.5,1.0,3.1
330,Elie Okobo\okoboel01,PG,21,PHO,15,3,18.9,2.6,6.7,.386,0.8,2.7,.293,1.8,4.0,.450,.446,0.9,0.9,.929,0.2,1.5,1.7,2.4,0.5,0.1,1.3,2.3,6.9
331,Josh Okogie\okogijo01,SG,20,MIN,16,7,21.1,2.8,7.4,.381,0.9,3.1,.306,1.9,4.3,.435,.445,1.2,1.6,.760,0.8,2.8,3.5,1.1,0.9,0.3,1.1,2.1,7.8
332,Victor Oladipo\oladivi01,SG,26,IND,16,16,32.4,8.1,18.3,.440,2.4,6.9,.345,5.7,11.4,.497,.505,2.9,4.1,.712,0.5,6.1,6.6,4.7,1.6,0.5,2.3,2.0,21.4
333,Kelly Olynyk\olynyke01,PF,27,MIA,22,5,19.1,2.7,5.9,.462,1.5,4.0,.371,1.2,1.9,.659,.588,1.9,2.5,.764,0.9,3.0,3.9,1.9,0.6,0.4,1.4,2.3,8.9
334,Cedi Osman\osmande01,SF,23,CLE,21,20,31.7,3.9,10.7,.366,1.5,4.8,.310,2.4,5.9,.411,.435,2.0,2.3,.837,0.6,4.7,5.3,2.5,0.7,0.3,2.0,2.3,11.2
335,Kelly Oubre\oubreke01,SF,23,WAS,24,7,25.1,4.3,10.1,.421,1.5,4.6,.315,2.8,5.5,.511,.494,2.0,2.5,.803,0.7,3.8,4.5,0.7,0.8,0.8,1.0,2.3,12.0
336,Zaza Pachulia\pachuza01,C,34,DET,21,0,12.7,1.0,2.9,.361,0.0,0.0,,1.0,2.9,.361,.361,1.8,2.1,.841,1.7,2.7,4.4,1.2,0.7,0.2,0.8,2.2,3.9
337,Jabari Parker\parkeja01,PF,23,CHI,25,17,32.0,6.6,14.4,.457,1.0,3.6,.289,5.5,10.8,.513,.493,2.3,3.2,.713,1.3,6.1,7.4,2.3,0.7,0.4,2.8,2.4,16.4
338,Tony Parker\parketo01,PG,36,CHO,20,0,19.8,4.2,8.8,.474,0.3,1.2,.261,3.9,7.6,.507,.491,1.5,2.2,.674,0.2,1.5,1.6,4.5,0.4,0.1,1.2,0.9,10.1
339,Chandler Parsons\parsoch01,SF,30,MEM,3,3,15.3,2.3,5.7,.412,1.0,3.3,.300,1.3,2.3,.571,.500,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.3,0.7,2.3,5.7
340,Patrick Patterson\pattepa01,PF,29,OKC,22,3,16.3,1.7,4.9,.346,1.0,3.1,.309,0.7,1.8,.410,.444,0.6,1.0,.619,0.8,2.0,2.8,0.5,0.4,0.2,0.4,1.0,4.9
341,Chris Paul\paulch01,PG,33,HOU,18,18,34.2,5.7,13.5,.424,2.2,6.2,.351,3.6,7.3,.485,.504,3.0,3.7,.806,0.6,4.0,4.6,8.1,2.2,0.3,3.2,2.6,16.6
342,Cameron Payne\payneca01,PG,24,CHI,23,12,18.8,2.3,5.9,.400,0.6,2.2,.275,1.7,3.7,.476,.452,0.9,1.0,.870,0.4,1.4,1.9,2.8,0.7,0.2,1.1,1.7,6.2
343,Elfrid Payton\paytoel01,PG,24,NOP,6,6,25.3,4.0,8.5,.471,0.5,1.2,.429,3.5,7.3,.477,.500,1.2,1.8,.636,1.2,4.0,5.2,5.3,0.8,0.2,2.0,2.7,9.7
344,Theo Pinson\pinsoth01,SG,23,BRK,3,0,5.0,0.0,1.0,.000,0.0,0.7,.000,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,0.3,0.3,1.3,0.0,0.0,0.0,0.0,0.7
345,Mason Plumlee\plumlma01,C,28,DEN,23,0,17.1,2.8,4.8,.591,0.0,0.1,.333,2.8,4.7,.598,.595,1.0,2.3,.442,2.1,3.1,5.2,1.9,1.2,0.9,1.3,3.1,6.7
346,Miles Plumlee\plumlmi01,C,30,ATL,15,0,9.9,2.0,2.9,.698,0.0,0.0,,2.0,2.9,.698,.698,0.9,1.6,.542,1.1,1.3,2.3,0.9,0.4,0.2,0.5,0.8,4.9
347,Jakob Poeltl\poeltja01,C,23,SAS,20,3,12.7,2.3,3.6,.648,0.0,0.0,,2.3,3.6,.648,.648,1.0,1.5,.655,2.2,2.1,4.3,1.0,0.3,0.6,0.7,1.3,5.6
348,Quincy Pondexter\pondequ01,SF,30,SAS,20,0,6.5,0.6,1.3,.480,0.1,0.5,.222,0.5,0.8,.625,.520,1.1,1.3,.840,0.2,1.0,1.2,0.4,0.4,0.0,0.4,0.8,2.4
349,Otto Porter\porteot01,SF,25,WAS,22,22,29.9,4.6,9.4,.490,1.4,3.7,.366,3.2,5.6,.573,.563,1.1,1.5,.781,0.8,4.7,5.5,1.9,1.6,0.6,0.7,1.6,11.7
350,Bobby Portis\portibo01,PF,23,CHI,4,4,28.3,4.3,10.3,.415,0.8,2.8,.273,3.5,7.5,.467,.451,1.3,2.3,.556,1.5,8.5,10.0,2.0,0.5,1.0,1.3,3.5,10.5
351,Dwight Powell\poweldw01,C,27,DAL,19,0,16.2,3.1,5.0,.621,0.4,1.5,.250,2.7,3.5,.776,.658,2.5,3.2,.783,1.2,2.9,4.1,1.1,0.7,0.6,0.8,2.8,9.1
